 Time ,Dc
16.7,0.268211
16.75,0.26816
16.8,0.268109
16.85,0.268059
16.9,0.268009
16.95,0.267959
17,0.26791
17.05,0.267861
17.1,0.267812
17.15,0.267764
17.2,0.267716
17.25,0.267669
17.3,0.267622
17.35,0.267575
17.4,0.267529
17.45,0.267483
17.5,0.267437
17.55,0.267392
17.6,0.267347
17.65,0.267303
17.7,0.267259
17.75,0.267215
17.8,0.267171
17.85,0.267128
17.9,0.267086
17.95,0.267043
18,0.267001
18.05,0.266959
18.1,0.266918
18.15,0.266877
18.2,0.266836
18.25,0.266796
18.3,0.266756
18.35,0.266716
18.4,0.266677
18.45,0.266638
18.5,0.266599
18.55,0.266561
18.6,0.266523
18.65,0.266485
18.7,0.266448
18.75,0.266411
18.8,0.266374
18.85,0.266337
18.9,0.266301
18.95,0.266266
19,0.26623
19.05,0.266195
19.1,0.26616
19.15,0.266125
19.2,0.266091
19.25,0.266057
19.3,0.266024
19.35,0.26599
19.4,0.265957
19.45,0.265925
19.5,0.265892
19.55,0.26586
19.6,0.265828
19.65,0.265797
19.7,0.265766
19.75,0.265735
19.8,0.265704
19.85,0.265674
19.9,0.265644
19.95,0.265661
20,0.265966
20.05,0.266275
20.1,0.266588
20.15,0.266905
20.2,0.267227
20.25,0.267553
20.3,0.267883
20.35,0.268217
20.4,0.268557
20.45,0.268901
20.5,0.269249
20.55,0.269603
20.6,0.269961
20.65,0.270325
20.7,0.270694
20.75,0.271068
20.8,0.271448
20.85,0.271833
20.9,0.272224
20.95,0.272621
21,0.273024
21.05,0.273433
21.1,0.273848
21.15,0.27427
21.2,0.274699
21.25,0.275134
21.3,0.275576
21.35,0.276026
21.4,0.276483
21.45,0.276948
21.5,0.27742
21.55,0.277901
21.6,0.27839
21.65,0.278887
21.7,0.279393
21.75,0.279908
21.8,0.280433
21.85,0.280967
21.9,0.281511
21.95,0.282065
22,0.28263
22.05,0.283206
22.1,0.283793
22.15,0.284392
22.2,0.285003
22.25,0.285627
22.3,0.286263
22.35,0.286913
22.4,0.287577
22.45,0.288256
22.5,0.288949
22.55,0.289658
22.6,0.290384
22.65,0.291126
22.7,0.291887
22.75,0.292665
22.8,0.293463
22.85,0.294281
22.9,0.29512
22.95,0.295981
23,0.296865
23.05,0.297773
23.1,0.298706
23.15,0.299666
23.2,0.300654
23.25,0.301671
23.3,0.30272
23.35,0.303801
23.4,0.304916
23.45,0.306069
23.5,0.30726
23.55,0.308492
23.6,0.309768
23.65,0.311091
23.7,0.312464
23.75,0.31389
23.8,0.315373
23.85,0.316918
23.9,0.318528
23.95,0.32021
24,0.321968
24.05,0.323811
24.1,0.325744
24.15,0.327776
24.2,0.329917
24.25,0.332178
24.3,0.334571
24.35,0.337111
24.4,0.339814
24.45,0.342701
24.5,0.345794
24.55,0.349122
24.6,0.352718
24.65,0.356624
24.7,0.360891
24.75,0.365583
24.8,0.370781
24.85,0.376592
24.9,0.383156
24.95,0.390667
25,0.399396
