Altitude ,density 
2985.58,0.911
2990.989,0.91
2996.369,0.909
3001.72,0.909
3007.044,0.908
3012.338,0.908
3017.604,0.908
3022.842,0.907
3028.052,0.907
3033.233,0.906
3038.386,0.906
3043.511,0.905
3048.607,0.905
3053.676,0.904
3058.717,0.904
3063.729,0.903
3068.714,0.903
3073.67,0.902
3078.599,0.902
3083.5,0.902
3088.373,0.901
3093.219,0.901
3098.036,0.9
3102.826,0.9
3107.589,0.899
3112.323,0.899
3117.031,0.898
3121.71,0.898
3126.362,0.898
3130.987,0.897
3135.584,0.897
3140.154,0.896
3144.697,0.896
3149.212,0.896
3153.7,0.895
3158.161,0.895
3162.594,0.894
3167.001,0.894
3171.38,0.894
3175.732,0.893
3180.057,0.893
3184.356,0.892
3188.627,0.892
3192.871,0.892
3197.088,0.891
3201.278,0.891
3205.442,0.89
3209.579,0.89
3213.689,0.89
3217.772,0.889
3221.828,0.889
3225.858,0.889
3229.861,0.888
3233.837,0.888
3237.787,0.887
3241.71,0.887
3245.607,0.887
3249.477,0.886
3253.32,0.886
3257.138,0.886
3260.928,0.885
3264.693,0.885
3268.431,0.885
3272.142,0.884
3275.828,0.884
3279.487,0.884
3283.119,0.883
3286.726,0.883
3290.306,0.883
3293.86,0.882
3297.388,0.882
3300.89,0.882
3304.366,0.881
3307.815,0.881
3311.239,0.881
3314.637,0.88
3318.008,0.88
3321.354,0.88
3324.673,0.879
3327.967,0.879
3331.235,0.879
3334.477,0.879
3337.693,0.878
3340.883,0.878
3344.047,0.878
3347.186,0.877
3350.299,0.877
3353.386,0.877
3356.447,0.877
3359.483,0.876
3362.492,0.876
3365.477,0.876
3368.435,0.875
3371.368,0.875
3374.276,0.875
3377.158,0.875
3380.014,0.874
3382.845,0.874
3385.65,0.874
3388.43,0.874
3391.184,0.873
3393.913,0.873
3396.616,0.873
3399.294,0.873
3401.946,0.872
3404.573,0.872
3407.175,0.872
3409.751,0.872
3412.302,0.871
3414.828,0.871
3417.329,0.871
3419.804,0.871
3422.254,0.87
3424.678,0.87
3427.077,0.87
3429.452,0.87
3431.8,0.87
3434.124,0.869
3436.423,0.869
3438.696,0.869
3440.944,0.869
3443.167,0.869
3445.365,0.868
3447.538,0.868
3449.686,0.868
3451.808,0.868
3453.906,0.868
3455.979,0.867
3458.026,0.867
3460.049,0.867
3462.046,0.867
3464.018,0.867
3465.966,0.866
3467.888,0.866
3469.786,0.866
3471.659,0.866
3473.506,0.866
3475.329,0.866
3477.127,0.865
3478.9,0.865
